Название субъекта РФ,Типы почв
Мурманская область,"Тундровые глеевые торфянисто-перегнойные (глееземы торфянистые и перегнойные тундровые), Подбуры темные тундровые, Подбуры тундровые (без разделения), Таежные глеевые и глееватые недифференцированные (глееземы таежные), Торфяно- и торфянисто-подзолисто-глеевые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-гумусовые (подзолы иллювиально-многогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные"
Ненецкий автономный округ,"Арктотундровые перегнойно-глеевые (глееземные перегнойные тундровые), Тундровые глеевые торфянистые и торфяные (глееземы торфянистые и торфяные тундровые), Подбуры темные тундровые, Подбуры светлые тундровые, Подбуры тундровые (без разделения), Глее-подзолистые, Торфяно- и торфянисто-подзолисто-глеевые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Пойменные кислые, Пойменные заболоченные, Маршевые засоленные и солонцеватые, Горные примитивные"
Нижегородская область,"Торфяно- и торфянисто-подзолисто-глеевые, Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые глубокоглееватые и глееватые (в том числе поверхностно-глееватые) преимущественно глубокие, Дерново-подзолистые иллювиально-железистые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Светло-серые лесные, Серые лесные, Темно-серые лесные, Черноземы оподзоленные, Черноземы выщелоченные, Лугово-черноземные, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Пойменные кислые, Пойменные слабокислые и нейтральные"
Новгородская область,"Таежные глеево-дифференцированные (глееземы и слабоглеевые дифференцированные, в том числе оподзоленные таежные), Подзолистые поверхностно-глееватые, Торфяно- и торфянисто-подзолисто-глеевые, Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые со вторым осветленным горизонтом, Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Дерново-подзолистые остаточно-карбонатные, Дерново-подзолистые иллювиально-железистые, Дерново-подзолисто-глеевые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы со вторым осветленным горизонтом (контактно-глееватые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Дерново-карбонатные (включая выщелоченные и оподзоленные), Торфяные болотные верховые, Торфяные болотные переходные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Пойменные кислые, Пойменные заболоченные"
Новосибирская область,"Таежные глеевые торфянисто-перегнойные (глееземы торфянисто-перегнойные таежные), Дерново-подзолистые преимущественно глубокоподзолистые, Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Дерново-подзолистые глубокоглееватые и глееватые (в том числе поверхностно-глееватые) преимущественно глубокие, Дерново-подзолисто-глеевые, Дерново-подзолисто-глеевые со вторым гумусовым горизонтом, Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Дерново-глеевые и перегнойно-глеевые, Серые лесные, Темно-серые лесные, Серые лесные глееватые и глеевые, Боровые пески, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы обыкновенные, Черноземы южные, Черноземы языковатые обыкновенные, Черноземы языковатые южные, Черноземы солонцеватые, Лугово-черноземные, Лугово-черноземные солонцеватые и солончаковатые, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Лугово-болотные, Луговые солонцеватые и солончаковатые, Луговые (без разделения), Солонцы луговатые (полугидроморфные), Солонцы луговые (гидроморфные), Солончаки луговые, Пойменные кислые, Пойменные слабокислые и нейтральные, Пойменные заболоченные, Пойменные луговые"
Омская область,"Таежные глеевые торфянисто-перегнойные (глееземы торфянисто-перегнойные таежные), Подзолистые, преимущественно мелкоподзолистые, Торфяно- и торфянисто-подзолисто-глеевые, Дерново-подзолистые преимущественно глубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые со вторым гумусовым горизонтом преимущественно глубокие, Дерново-подзолистые глубокоглееватые и глееватые (в том числе поверхностно-глееватые) преимущественно глубокие, Дерново-подзолистые иллювиально-железистые, Дерново-подзолисто-глеевые, Дерново-подзолисто-глеевые со вторым гумусовым горизонтом, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Дерново-глеевые и перегнойно-глеевые, Светло-серые лесные, Серые лесные, Серые лесные осолоделые (в том числе со вторым гумусовым горизонтом), Серые лесные глееватые и глеевые, Черноземы оподзоленные, Черноземы обыкновенные, Черноземы южные, Черноземы языковатые и карманистые выщелоченные, Черноземы языковатые обыкновенные, Черноземы языковатые южные, Черноземы остаточно-карбонатные, Лугово-черноземные, Лугово-черноземные солонцеватые и солончаковатые, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Лугово-болотные, Луговые солонцеватые и солончаковатые, Луговые (без разделения), Солонцы луговатые (полугидроморфные), Солонцы луговые (гидроморфные), Солончаки типичные, Солончаки луговые, Пойменные кислые, Пойменные слабокислые и нейтральные"
Оренбургская область,"Серые лесные, Темно-серые лесные, Серые лесные неполноразвитые, Боровые пески, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Черноземы обыкновенные, Черноземы южные, Черноземы языковатые обыкновенные, Черноземы языковатые южные, Черноземы глубоковскипающие и бескарбонатные на легких породах, Черноземы остаточно-карбонатные, Черноземы осолоделые, Черноземы солонцеватые, Черноземы без разделения, преимущественно неполноразвитые, Лугово-черноземные, Темно-каштановые, Темно-каштановые солонцеватые и солончаковатые, Каштановые неполноразвитые, Солонцы (автоморфные), Пойменные слабокислые и нейтральные"
Орловская область,"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые иллювиально-железистые, Светло-серые лесные, Серые лесные, Темно-серые лесные, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Пойменные кислые, Пойменные слабокислые и нейтральные"
Пензенская область,"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые иллювиально-железистые, Светло-серые лесные, Серые лесные, Темно-серые лесные, Серые лесные неполноразвитые, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Черноземы остаточно-карбонатные, Пойменные слабокислые и нейтральные"
Пермский край,"Глее-подзолистые, Подзолистые, преимущественно мелкоподзолистые, Подзолистые, преимущественно неглубокоподзолистые, Подзолистые, преимущественно глубокоподзолистые, Подзолистые, преимущественно сверхглубокоподзолистые, Подзолистые поверхностно-глееватые, Торфяно- и торфянисто-подзолисто-глеевые, Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые преимущественно глубокоподзолистые, Дерново-подзолистые иллювиально-железистые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Подбуры таежные (без разделения), Буро-таежные иллювиально-гумусовые (буроземы грубогумусовые иллювиально-гумусовые), Буро-таежные (буроземы грубогумусовые), Дерново-карбонатные (включая выщелоченные и оподзоленные), Дерново-глеевые и перегнойно-глеевые, Светло-серые лесные, Серые лесные, Темно-серые лесные, Черноземы оподзоленные, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Пойменные кислые, Пойменные слабокислые и нейтральные, Пойменные заболоченные, Горные лесо-луговые"
Приморский край,"Подбуры тундровые (без разделения), Дерново-палево-подзолистые и подзолисто-буроземные, Дерново-палево-подзолистые и подзолисто-буроземные глубокоглееватые и глеевые, Дерново-подзолисто-глеевые, Подбуры таежные (без разделения), Подбуры сухоторфянистые, Буро-таежные иллювиально-гумусовые (буроземы грубогумусовые иллювиально-гумусовые), Буро-таежные (буроземы грубогумусовые), Буро-таежные глеевые (буроземы грубогумусовые глеевые), Бурые лесные кислые (буроземы кислые), Бурые лесные кислые оподзоленные (буроземы кислые оподзоленные), Бурые лесные слабоненасыщенные (буроземы слабоненасыщенные), Бурые лесные слабоненасыщенные оподзоленные (буроземы слабоненасыщенные оподзоленные), Бурые лесные глееватые и глеевые (буроземы глееватые и глеевые), Торфяные болотные низинные, Торфяные болотные (без разделения), Лугово-болотные, Лугово-болотные солончаковатые и солонцеватые, Луговые дифференцированные (в том числе осолоделые), Пойменные слабокислые и нейтральные, Пойменные луговые, Маршевые засоленные и солонцеватые, Горные примитивные"
Псковская область,"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые со вторым осветленным горизонтом, Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Дерново-подзолистые остаточно-карбонатные, Дерново-подзолистые иллювиально-железистые, Дерново-палево-подзолистые и подзолисто-буроземные, Дерново-подзолисто-глеевые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Дерново-карбонатные (включая выщелоченные и оподзоленные), Дерново-глеевые и перегнойно-глеевые, Дерново-глеевые оподзоленные, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Пойменные кислые"
Республика Адыгея (Адыгея),"Буро-таежные иллювиально-гумусовые (буроземы грубогумусовые иллювиально-гумусовые), Дерново-карбонатные (включая выщелоченные и оподзоленные), Бурые лесные кислые оподзоленные (буроземы кислые оподзоленные), Бурые лесные слабоненасыщенные (буроземы слабоненасыщенные), Буровато-светло-серые лесные и серые лесные (переходные к бурым лесным), Буровато-темно-серые лесные (переходные к бурым лесным), Черноземы выщелоченные мицелярно-карбонатные (черноземы глубокие выщелоченные), Черноземы слитые, Лугово-черноземные выщелоченные, Луговые (без разделения), Пойменные слабокислые и нейтральные, Горно-луговые дерновые, Горно-луговые черноземовидные"
Республика Алтай,"Подбуры тундровые (без разделения), Дерново-подзолистые преимущественно сверхглубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подбуры таежные (без разделения), Буро-таежные (буроземы грубогумусовые), Бурые лесные кислые (буроземы кислые), Бурые лесные кислые оподзоленные (буроземы кислые оподзоленные), Светло-серые лесные, Серые лесные, Темно-серые лесные, Серые лесные неоподзоленные, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы обыкновенные, Черноземы без разделения, преимущественно неполноразвитые, Каштановые, Светло-каштановые, Темно-каштановые остаточно-карбонатные и карбонатные, Лугово-каштановые, Пойменные заболоченные, Пойменные луговые, Высокогорные дерново-гольцовые, Горные примитивные, Горно-луговые дерновые, Горно-луговые черноземовидные, Горные лугово-степные, Горные степные и холодно-степные (без разделения), Горные лесные черноземовидные"
Республика Башкортостан,"Подбуры тундровые (без разделения), Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые иллювиально-железистые, Буро-таежные (буроземы грубогумусовые), Дерново-таежные кислые (дерново-буроземные кислые), Дерново-карбонатные (включая выщелоченные и оподзоленные), Светло-серые лесные, Серые лесные, Темно-серые лесные, Серые лесные неполноразвитые, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Черноземы обыкновенные, Черноземы языковатые обыкновенные, Черноземы остаточно-карбонатные, Черноземы без разделения, преимущественно неполноразвитые, Лугово-черноземные, Торфяные болотные низинные, Лугово-болотные, Солонцы (автоморфные), Солончаки луговые, Пойменные кислые, Пойменные слабокислые и нейтральные, Пойменные заболоченные, Горно-луговые дерновые, Горные лесо-луговые"
Республика Бурятия,"Почвы, Подбуры темные тундровые, Подбуры светлые тундровые, Подбуры тундровые (без разделения), Таежные глеевые гумусово-перегнойные (глееземы слабоглеевые гумусово-перегнойные таежные), Таежные глеевые торфянисто-перегнойные (глееземы торфянисто-перегнойные таежные), Таежные торфянисто-перегнойные высокогумусные неоглеенные, Дерново-подзолистые (без разделения), Дерново-подзолисто-глеевые, Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы сухоторфянистые, Подбуры таежные (без разделения), Подбуры сухоторфянистые, Подбуры охристые, Дерново-таежные кислые (дерново-буроземные кислые), Дерново-таежные насыщенные (дерново-буроземные слабоненасыщенные и насыщенные), Дерново-карбонатные (включая выщелоченные и оподзоленные), Темно-серые лесные, Серые лесные неоподзоленные, Боровые пески, Черноземы мучнисто-карбонатные, включая выщелоченные, типичные, обыкновенные и южные (черноземы промытые), Черноземы без разделения, преимущественно неполноразвитые, Серопески, Лугово-черноземные, Лугово-черноземные солонцеватые и солончаковатые, Каштановые мучнисто-карбонатные без разделения (каштановые промытые), Торфяные болотные переходные, Торфяные болотные низинные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Лугово-болотные, Луговые (без разделения), Солонцы луговые (гидроморфные), Солончаки луговые, Пойменные кислые, Пойменные засоленные, Пойменные заболоченные, Пойменные луговые, Высокогорные дерново-гольцовые, Горные примитивные, Горные щебнисто-органогенные"
Республика Дагестан,"Бурые лесные слабоненасыщенные (буроземы слабоненасыщенные), Серые лесные, Черноземы выщелоченные, Черноземы типичные мицелярно-карбонатные (черноземы глубокие слабовыщелоченные), Черноземы южные и обыкновенные мицелярно-карбонатные (черноземы глубокие карбонатные), Черноземы слитые, Темно-каштановые мицелярно-карбонатные (темно-каштановые глубокие), Луговые карбонатные, Луговые (без разделения), Пойменные слабокислые и нейтральные, Горно-луговые дерново-торфянистые, Горно-луговые дерновые, Горно-луговые черноземовидные, Горные лугово-степные"
Республика Ингушетия,"Бурые лесные слабоненасыщенные (буроземы слабоненасыщенные), Бурые лесные глееватые и глеевые (буроземы глееватые и глеевые), Серые лесные, Черноземы выщелоченные мицелярно-карбонатные (черноземы глубокие выщелоченные), Черноземы южные и обыкновенные мицелярно-карбонатные (черноземы глубокие карбонатные), Темно-каштановые мицелярно-карбонатные (темно-каштановые глубокие), Горно-луговые дерново-торфянистые, Горно-луговые дерновые, Горно-луговые черноземовидные"
Республика Калмыкия,"Черноземы южные и обыкновенные мицелярно-карбонатные (черноземы глубокие карбонатные), Темно-каштановые, Каштановые, Светло-каштановые, Темно-каштановые солонцеватые и солончаковатые, Каштановые солонцеватые и солончаковатые, Светло-каштановые солонцеватые и солончаковатые, Лугово-каштановые, Лугово-каштановые солонцеватые и солончаковатые, Бурые, Бурые солонцеватые и солончаковатые, Луговые солонцеватые и солончаковатые, Солоди, Солонцы (автоморфные), Солонцы луговатые (полугидроморфные), Солонцы луговые (гидроморфные), Солончаки типичные, Солончаки луговые, Пойменные засоленные, Пойменные луговые, Маршевые засоленные и солонцеватые"
Республика Карелия,"Таежные глеевые и глееватые недифференцированные (глееземы таежные), Таежные глеево-дифференцированные (глееземы и слабоглеевые дифференцированные, в том числе оподзоленные таежные), Глее-подзолистые, Глее-подзолистые со вторым осветленным горизонтом, Подзолистые, преимущественно мелкоподзолистые, Подзолистые, преимущественно неглубокоподзолистые, Подзолистые (без разделения), Подзолистые со вторым осветленным горизонтом, Подзолистые поверхностно-глееватые, Торфяно- и торфянисто-подзолисто-глеевые, Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-гумусовые (подзолы иллювиально-многогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Буро-таежные (буроземы грубогумусовые), Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Пойменные кислые, Маршевые засоленные и солонцеватые"
Республика Коми,"Тундровые поверхностно-глеевые дифференцированные торфянисто-перегнойные (глееземы дифференцированные, в том числе оподзоленные, тундровые), Подбуры темные тундровые, Подбуры тундровые (без разделения), Глее-подзолистые, Подзолистые, преимущественно мелкоподзолистые, Подзолистые, преимущественно неглубокоподзолистые, Подзолистые, преимущественно глубокоподзолистые, Подзолистые, преимущественно сверхглубокоподзолистые, Торфяно- и торфянисто-подзолисто-глеевые, Дерново-подзолистые преимущественно неглубокоподзолистые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-гумусовые (подзолы иллювиально-многогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы со вторым осветленным горизонтом (контактно-глееватые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Пойменные кислые, Пойменные заболоченные, Горные примитивные, Горные лесо-луговые"
Республика Марий Эл,"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Дерново-подзолистые иллювиально-железистые, Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Дерново-карбонатные (включая выщелоченные и оподзоленные), Светло-серые лесные, Серые лесные, Серые лесные остаточно-карбонатные, Лугово-черноземные, Торфяные болотные низинные, Пойменные слабокислые и нейтральные"
Республика Мордовия,"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые иллювиально-железистые, Светло-серые лесные, Серые лесные, Темно-серые лесные, Серые лесные неполноразвитые, Черноземы оподзоленные, Черноземы выщелоченные, Пойменные слабокислые и нейтральные"
Республика Саха (Якутия),"Тундровые глеевые торфянисто-перегнойные (глееземы торфянистые и перегнойные тундровые), Подбуры темные тундровые, Подбуры светлые тундровые, Подбуры тундровые (без разделения), Перегнойно-карбонатные тундровые, Таежные глеевые гумусово-перегнойные (глееземы слабоглеевые гумусово-перегнойные таежные), Таежные глеевые торфянисто-перегнойные (глееземы торфянисто-перегнойные таежные), Таежные глеево-дифференцированные (глееземы и слабоглеевые дифференцированные, в том числе оподзоленные таежные), Таежные торфянисто-перегнойные высокогумусные неоглеенные, Подзолистые, преимущественно неглубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые остаточно-карбонатные, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы сухоторфянистые, Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Подбуры темные таежные, Подбуры таежные (без разделения), Подбуры сухоторфянистые, Подбуры охристые, Палевые перегнойные, Палевые типичные, Палевые оподзоленные, Палевые карбонатные, Палевые осолоделые, Серопалевые, Перегнойно-карбонатные, Дерново-карбонатные (включая выщелоченные и оподзоленные), Боровые пески, Черноземы обыкновенные, Лугово-черноземные, Лугово-черноземные солонцеватые и солончаковатые, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Торфяные болотные (без разделения), Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Лугово-болотные, Луговые (без разделения), Пойменные кислые, Пойменные слабокислые и нейтральные, Пойменные заболоченные, Пойменные луговые, Маршевые засоленные и солонцеватые, Высокогорные дерново-гольцовые, Горные примитивные"
Республика Северная Осетия - Алания,"Бурые лесные слабоненасыщенные (буроземы слабоненасыщенные), Бурые лесные глееватые и глеевые (буроземы глееватые и глеевые), Серые лесные, Черноземы выщелоченные мицелярно-карбонатные (черноземы глубокие выщелоченные), Черноземы типичные мицелярно-карбонатные (черноземы глубокие слабовыщелоченные), Черноземы южные и обыкновенные мицелярно-карбонатные (черноземы глубокие карбонатные), Черноземы слитые, Темно-каштановые мицелярно-карбонатные (темно-каштановые глубокие), Каштановые мицелярно-карбонатные (каштановые глубокие), Луговые карбонатные, Пойменные слабокислые и нейтральные, Пойменные засоленные, Горно-луговые дерново-торфянистые, Горно-луговые дерновые, Горные лугово-степные"
Республика Татарстан (Татарстан),"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые иллювиально-железистые, Дерново-карбонатные (включая выщелоченные и оподзоленные), Светло-серые лесные, Серые лесные, Темно-серые лесные, Серые лесные остаточно-карбонатные, Боровые пески, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Черноземы остаточно-карбонатные, Лугово-черноземные, Торфяные болотные низинные, Пойменные слабокислые и нейтральные"
Республика Тыва,"Подбуры темные тундровые, Подбуры светлые тундровые, Подбуры тундровые (без разделения), Таежные глеевые торфянисто-перегнойные (глееземы торфянисто-перегнойные таежные), Дерново-подзолистые (без разделения), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подбуры темные таежные, Подбуры таежные (без разделения), Буро-таежные (буроземы грубогумусовые), Дерново-таежные кислые (дерново-буроземные кислые), Дерново-таежные насыщенные (дерново-буроземные слабоненасыщенные и насыщенные), Темно-серые лесные, Черноземы обыкновенные, Черноземы южные, Черноземы слитые, Черноземы без разделения, преимущественно неполноразвитые, Лугово-черноземные, Темно-каштановые, Каштановые, Светло-каштановые, Лугово-каштановые, Бурые, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Лугово-болотные, Лугово-болотные солончаковатые и солонцеватые, Луговые (без разделения), Пойменные кислые, Пойменные карбонатные, Пойменные засоленные, Пойменные заболоченные, Высокогорные дерново-гольцовые, Горные примитивные, Горно-луговые дерновые, Горные лугово-степные, Горные степные и холодно-степные (без разделения)"
Республика Хакасия,"Подбуры темные тундровые, Подбуры тундровые (без разделения), Дерново-подзолистые преимущественно глубокоподзолистые, Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Буро-таежные (буроземы грубогумусовые), Дерново-таежные кислые (дерново-буроземные кислые), Дерново-таежные насыщенные (дерново-буроземные слабоненасыщенные и насыщенные), Дерново-карбонатные (включая выщелоченные и оподзоленные), Бурые лесные кислые (буроземы кислые), Бурые лесные кислые оподзоленные (буроземы кислые оподзоленные), Серые лесные, Темно-серые лесные, Серые лесные неоподзоленные, Боровые пески, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы обыкновенные, Черноземы южные, Черноземы без разделения, преимущественно неполноразвитые, Темно-каштановые, Каштановые, Светло-каштановые, Лугово-болотные, Солонцы луговые (гидроморфные), Солончаки луговые, Пойменные кислые, Высокогорные дерново-гольцовые, Горно-луговые дерновые, Горные лесо-луговые"
Ростовская область,"Боровые пески, Черноземы обыкновенные, Черноземы южные, Черноземы южные и обыкновенные мицелярно-карбонатные (черноземы глубокие карбонатные), Черноземы солонцеватые, Черноземы без разделения, преимущественно неполноразвитые, Серопески, Лугово-черноземные, Темно-каштановые, Каштановые, Светло-каштановые, Темно-каштановые солонцеватые и солончаковатые, Каштановые солонцеватые и солончаковатые, Светло-каштановые солонцеватые и солончаковатые, Лугово-болотные солончаковатые и солонцеватые, Пойменные слабокислые и нейтральные, Пойменные засоленные, Пойменные заболоченные"
Рязанская область,"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые иллювиально-железистые, Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Светло-серые лесные, Серые лесные, Темно-серые лесные, Черноземы оподзоленные, Черноземы выщелоченные, Лугово-черноземные, Лугово-черноземные выщелоченные, Торфяные болотные верховые, Торфяные болотные низинные, Пойменные слабокислые и нейтральные"
Самарская область,"Дерново-подзолистые иллювиально-железистые, Светло-серые лесные, Серые лесные, Темно-серые лесные, Боровые пески, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Черноземы обыкновенные, Черноземы южные, Черноземы остаточно-карбонатные, Лугово-черноземные, Темно-каштановые, Пойменные слабокислые и нейтральные"
Саратовская область,"Дерново-подзолистые иллювиально-железистые, Светло-серые лесные, Серые лесные, Темно-серые лесные, Серые лесные неполноразвитые, Боровые пески, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы типичные, Черноземы обыкновенные, Черноземы южные, Черноземы остаточно-карбонатные, Черноземы солонцеватые, Черноземы без разделения, преимущественно неполноразвитые, Лугово-черноземные, Темно-каштановые, Каштановые, Темно-каштановые остаточно-карбонатные и карбонатные, Темно-каштановые солонцеватые и солончаковатые, Каштановые солонцеватые и солончаковатые, Светло-каштановые солонцеватые и солончаковатые, Каштановые неполноразвитые, Лугово-каштановые, Луговые солонцеватые и солончаковатые, Солонцы (автоморфные), Солонцы луговатые (полугидроморфные), Пойменные слабокислые и нейтральные, Пойменные засоленные"
Сахалинская область,"Торфяно- и торфянисто-подзолисто-глеевые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-гумусовые (подзолы иллювиально-многогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Подбуры сухоторфянистые, Буро-таежные иллювиально-гумусовые (буроземы грубогумусовые иллювиально-гумусовые), Буро-таежные (буроземы грубогумусовые), Буро-таежные перегнойно-аккумулятивно-гумусовые (буроземы перегнойно-аккумулятивно-гумусовые), Дерново-глеевые и перегнойно-глеевые, Вулканические слоисто-пепловые, Вулканические сухоторфянистые, Вулканические торфянисто-перегнойные, Вулканические охристые, включая оподзоленные, Вулканические слоисто-охристые, Бурые лесные кислые (буроземы кислые), Торфяные болотные верховые, Торфяные болотные низинные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Луговые (без разделения), Пойменные луговые"
