Название субъекта РФ,Типы почв
Еврейская автономная область,"Дерново-палево-подзолистые и подзолисто-буроземные глубокоглееватые и глеевые, Подбуры сухоторфянистые, Буро-таежные (буроземы грубогумусовые), Буро-таежные глеевые (буроземы грубогумусовые глеевые), Бурые лесные кислые (буроземы кислые), Бурые лесные слабоненасыщенные (буроземы слабоненасыщенные), Бурые лесные глееватые и глеевые (буроземы глееватые и глеевые), Торфяные болотные верховые, Торфяные болотные переходные, Лугово-болотные, Луговые дифференцированные (в том числе осолоделые), Луговые (без разделения), Пойменные луговые"
Забайкальский край,"Перегнойно-карбонатные тундровые, Таежные глеевые гумусово-перегнойные (глееземы слабоглеевые гумусово-перегнойные таежные), Таежные глеевые торфянисто-перегнойные (глееземы торфянисто-перегнойные таежные), Таежные торфянисто-перегнойные высокогумусные неоглеенные, Дерново-подзолистые (без разделения), Дерново-подзолистые глубокоглееватые и глееватые (в том числе поверхностно-глееватые) преимущественно глубокие, Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы сухоторфянистые, Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Подбуры таежные (без разделения), Подбуры сухоторфянистые, Подбуры охристые, Дерново-таежные кислые (дерново-буроземные кислые), Дерново-таежные насыщенные (дерново-буроземные слабоненасыщенные и насыщенные), Дерново-таежные глееватые и глеевые (дерново-буроземные глееватые и глеевые), Перегнойно-карбонатные, Дерново-карбонатные (включая выщелоченные и оподзоленные), Серые лесные неоподзоленные, Боровые пески, Черноземы мучнисто-карбонатные, включая выщелоченные, типичные, обыкновенные и южные (черноземы промытые), Черноземы глубоковскипающие и бескарбонатные на легких породах, Черноземы солонцеватые, Лугово-черноземные, Лугово-черноземные солонцеватые и солончаковатые, Каштановые мучнисто-карбонатные без разделения (каштановые промытые), Лугово-каштановые, Торфяные болотные переходные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Лугово-болотные, Луговые солонцеватые и солончаковатые, Луговые (без разделения), Солончаки луговые, Солончаки соровые, Пойменные кислые, Пойменные засоленные, Пойменные заболоченные, Высокогорные дерново-гольцовые, Горные примитивные, Горные лесо-луговые"
Ивановская область,"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые иллювиально-железистые, Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Светло-серые лесные, Торфяные болотные верховые, Торфяные болотные низинные, Пойменные кислые, Пойменные слабокислые и нейтральные"
Иркутская область,"Подбуры темные тундровые, Подбуры светлые тундровые, Подбуры тундровые (без разделения), Перегнойно-карбонатные тундровые, Таежные глеевые гумусово-перегнойные (глееземы слабоглеевые гумусово-перегнойные таежные), Таежные глеевые торфянисто-перегнойные (глееземы торфянисто-перегнойные таежные), Таежные торфянисто-перегнойные высокогумусные неоглеенные, Подзолистые, преимущественно глубокоподзолистые, Подзолистые (без разделения), Подзолистые остаточно-карбонатные, Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые преимущественно глубокоподзолистые, Дерново-подзолистые (без разделения), Дерново-подзолистые со вторым гумусовым горизонтом преимущественно глубокие, Дерново-подзолистые глубокоглееватые и глееватые (в том числе поверхностно-глееватые) преимущественно глубокие, Дерново-подзолистые остаточно-карбонатные, Дерново-подзолистые иллювиально-железистые, Дерново-подзолисто-глеевые, Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы сухоторфянистые, Подбуры таежные (без разделения), Подбуры сухоторфянистые, Подбуры охристые, Буро-таежные иллювиально-гумусовые (буроземы грубогумусовые иллювиально-гумусовые), Буро-таежные (буроземы грубогумусовые), Дерново-таежные кислые (дерново-буроземные кислые), Дерново-таежные насыщенные (дерново-буроземные слабоненасыщенные и насыщенные), Дерново-таежные железистые (дерново-буроземные железистые), Перегнойно-карбонатные, Дерново-карбонатные (включая выщелоченные и оподзоленные), Светло-серые лесные, Серые лесные, Темно-серые лесные, Серые лесные со вторым гумусовым горизонтом, в том числе глубинно-глееватые, Серые лесные неоподзоленные, Боровые пески, Черноземы выщелоченные, Черноземы обыкновенные, Черноземы солонцеватые, Лугово-черноземные, Каштановые, Торфяные болотные верховые, Торфяные болотные переходные, Торфяные болотные низинные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Лугово-болотные, Луговые (без разделения), Пойменные кислые, Пойменные заболоченные, Высокогорные дерново-гольцовые, Горные примитивные"
Кабардино-Балкарская Республика,"Бурые лесные слабоненасыщенные (буроземы слабоненасыщенные), Серые лесные, Черноземы выщелоченные, Черноземы типичные мицелярно-карбонатные (черноземы глубокие слабовыщелоченные), Черноземы южные и обыкновенные мицелярно-карбонатные (черноземы глубокие карбонатные), Черноземы слитые, Темно-каштановые мицелярно-карбонатные (темно-каштановые глубокие), Луговые карбонатные, Луговые (без разделения), Пойменные слабокислые и нейтральные, Горно-луговые дерново-торфянистые, Горно-луговые дерновые, Горно-луговые черноземовидные, Горные лугово-степные"
Калининградская область,"Таежные глеевые и глееватые недифференцированные (глееземы таежные), Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые (без разделения), Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Буро-таежные иллювиально-гумусовые (буроземы грубогумусовые иллювиально-гумусовые), Дерново-глеевые и перегнойно-глеевые, Бурые лесные кислые оподзоленные (буроземы кислые оподзоленные), Торфяные болотные верховые, Пойменные кислые, Пойменные заболоченные"
Калужская область,"Дерново-подзолистые преимущественно мелко- и неглубокоподзолистые, Дерново-подзолистые преимущественно неглубокоподзолистые, Дерново-подзолистые со вторым осветленным горизонтом, Дерново-подзолистые иллювиально-железистые, Дерново-подзолисто-глеевые, Подзолы иллювиально-железистые (подзолы иллювиально-малогумусовые), Подзолы иллювиально-железистые и иллювиально-гумусовые без разделения (подзолы иллювиально-мало- и многогумусовые), Подзолы глеевые торфянистые и торфяные, преимущественно иллювиально-гумусовые, Светло-серые лесные, Серые лесные, Торфяные болотные верховые, Торфяные болотные низинные, Пойменные кислые"
Камчатский край,"Подбуры темные тундровые, Подбуры светлые тундровые, Подбуры тундровые (без разделения), Таежные глеевые торфянисто-перегнойные (глееземы торфянисто-перегнойные таежные), Таежные глеево-дифференцированные (глееземы и слабоглеевые дифференцированные, в том числе оподзоленные таежные), Таежные торфянисто-перегнойные высокогумусные неоглеенные, Подзолы иллювиально-гумусовые (подзолы иллювиально-многогумусовые), Подзолы сухоторфянистые, Подзолы охристые, Подбуры темные таежные, Подбуры таежные (без разделения), Подбуры сухоторфянистые, Вулканические иллювиально-гумусовые тундровые, Вулканические слоисто-пепловые, Вулканические сухоторфянистые, Вулканические охристые, включая оподзоленные, Вулканические светло-охристые, включая оподзоленные, Вулканические подзолисто-охристые, Вулканические слоисто-охристые, Торфяные болотные верховые, Торфяно-пепловые слоистые болотные, Торфянисто- и торфяно-глеевые болотные (глееземы торфянистые и торфяные болотные), Луговые (без разделения), Пойменные кислые, Пойменные слабокислые и нейтральные, Горные примитивные"
Карачаево-Черкесская Республика,"Буро-таежные иллювиально-гумусовые (буроземы грубогумусовые иллювиально-гумусовые), Дерново-карбонатные (включая выщелоченные и оподзоленные), Бурые лесные слабоненасыщенные (буроземы слабоненасыщенные), Черноземы оподзоленные мицелярно-карбонатные (черноземы оподзоленные глубокие), Черноземы выщелоченные мицелярно-карбонатные (черноземы глубокие выщелоченные), Черноземы типичные мицелярно-карбонатные (черноземы глубокие слабовыщелоченные), Черноземы южные и обыкновенные мицелярно-карбонатные (черноземы глубокие карбонатные), Черноземы солонцеватые, Пойменные слабокислые и нейтральные, Пойменные слитые, Горно-луговые дерново-торфянистые, Горно-луговые дерновые, Горно-луговые черноземовидные"
Кемеровская область,"Подбуры темные тундровые, Дерново-подзолистые преимущественно глубокоподзолистые, Дерново-подзолистые преимущественно сверхглубокоподзолистые, Дерново-подзолистые со вторым гумусовым горизонтом глубокоглееватые преимущественно глубокие, Дерново-подзолистые поверхностно-глееватые преимущественно глубокие и сверхглубокие, Дерново-подзолистые глубокоглееватые и глееватые (в том числе поверхностно-глееватые) преимущественно глубокие, Дерново-подзолисто-глеевые со вторым гумусовым горизонтом, Буро-таежные (буроземы грубогумусовые), Бурые лесные кислые (буроземы кислые), Бурые лесные кислые оподзоленные (буроземы кислые оподзоленные), Светло-серые лесные, Серые лесные, Темно-серые лесные, Боровые пески, Черноземы оподзоленные, Черноземы выщелоченные, Черноземы языковатые и карманистые выщелоченные, Черноземы солонцеватые, Лугово-черноземные, Торфяные болотные низинные, Луговые (без разделения), Солончаки типичные, Пойменные кислые, Горно-луговые дерновые, Горные лесо-луговые"
